key,rankings
282N00000X,"[(1144249657, np.float64(0.012786694925607557)), (1013071653, np.float64(0.0040158687719215975)), (1972689172, np.float64(0.0035672032622009755)), (1225133473, np.float64(0.0029012850051417308)), (1811946734, np.float64(0.002705484415270168)), (1821007881, np.float64(0.002596958355172245)), (1417965559, np.float64(0.0025400947235682484)), (1780684431, np.float64(0.0025155378085445885)), (1578554630, np.float64(0.0024085709192486647)), (1013933175, np.float64(0.0021720822797313064)), (1164539730, np.float64(0.0019291965387999844)), (1649367269, np.float64(0.0018577454213546752)), (1497798847, np.float64(0.001795318923118918)), (1467493551, np.float64(0.0017407683160078154)), (1669405072, np.float64(0.00169609536502774)), (1679525919, np.float64(0.00164170266191634)), (1487694857, np.float64(0.001582947028274786)), (1295761963, np.float64(0.0014594248372421512)), (1174500458, np.float64(0.0013367772590690639)), (1407854771, np.float64(0.0012658865775049487)), (1902803315, np.float64(0.001256952159475532)), (1700978558, np.float64(0.001182359703130533)), (1912954553, np.float64(0.0011811073910194803)), (1265422901, np.float64(0.001156759395293594)), (1568459287, np.float64(0.0011178954561892583)), (1376529743, np.float64(0.0010314003083722791)), (1790860856, np.float64(0.0009391097265492308)), (1184670549, np.float64(0.0009233704927106678)), (1548375082, np.float64(0.0009174148728423756)), (1497790042, np.float64(0.0009089546289174496)), (1770531600, np.float64(0.0008613327074386084)), (1568493641, np.float64(0.0008548453346067953)), (1154432458, np.float64(0.0008508084796397477)), (1609831247, np.float64(0.0008483114592805542)), (1477531580, np.float64(0.0008359076462041908)), (1902894512, np.float64(0.000822840355698713)), (1467560599, np.float64(0.0007998112280714648)), (1134227606, np.float64(0.0007867159358497253)), (1013010917, np.float64(0.0007846408178416193)), (1609817220, np.float64(0.0007819104119231203)), (1861409823, np.float64(0.000780625297689988)), (1548306343, np.float64(0.0007746607295454729)), (1265449870, np.float64(0.0007692905241218574)), (1164400131, np.float64(0.0007688204766408932)), (1144274879, np.float64(0.0007551330790060685)), (1104906569, np.float64(0.000753259991552532)), (1316027709, np.float64(0.0007459855978545042)), (1336144732, np.float64(0.0007404372884626487)), (1174618953, np.float64(0.000734125309040394)), (1073519443, np.float64(0.0007217356491557368)), (1134166192, np.float64(0.0007123066801197198)), (1508058009, np.float64(0.0007093048910410501)), (1437186111, np.float64(0.0006958009187637887)), (1124272547, np.float64(0.000694959566004363)), (1578704938, np.float64(0.0006914685883821128)), (1265820179, np.float64(0.0006906392807108147)), (1154373843, np.float64(0.0006759620116935286)), (1538100029, np.float64(0.0006733227496165523)), (1356390264, np.float64(0.0006670915031127054)), (1134186315, np.float64(0.000667071087075129)), (1427360981, np.float64(0.0006449503030143948)), (1467537506, np.float64(0.0006430484504061027)), (1205845567, np.float64(0.0006402349388418884)), (1255419651, np.float64(0.0006262852700259113)), (1497792568, np.float64(0.0006241509643037896)), (1699756221, np.float64(0.0006069419734093431)), (1124025176, np.float64(0.0005977555433225302)), (1578677811, np.float64(0.000589857992258522)), (1275583726, np.float64(0.0005855080429331949)), (1003864810, np.float64(0.0005778268700266187)), (1497859649, np.float64(0.0005384453419647883)), (1235183328, np.float64(0.0005192386738100433)), (1285681908, np.float64(0.0005143712103321667)), (1265419907, np.float64(0.00051172646304503)), (1629069638, np.float64(0.0004885438142738904)), (1174512792, np.float64(0.0004790473866528278)), (1477549756, np.float64(0.0004750489755106748)), (1811971302, np.float64(0.0004670847188113888)), (1346247368, np.float64(0.0004521377282973696)), (1285667493, np.float64(0.00044352370578500805)), (1558759498, np.float64(0.00041932557482097377)), (1962409987, np.float64(0.0004094872785352962)), (1831151257, np.float64(0.0003921006337235269)), (1043240682, np.float64(0.0003089813664806973)), (1376521575, np.float64(0.0002965376566145992)), (1023049236, np.float64(0.0002945022755590136)), (1932213600, np.float64(0.0002923010286252884)), (1710918545, np.float64(0.00028133508305217334)), (1508956509, np.float64(0.00028129103764919434)), (1598768780, np.float64(0.00027997786451829684)), (1154415024, np.float64(0.00022849617392794178)), (1558653212, np.float64(0.00022505873967897474)), (1639101751, np.float64(0.000189632849951019)), (1629026364, np.float64(0.00018612810684529488)), (1184722779, np.float64(0.00015219932134844113)), (1841271459, np.float64(0.00014175637813132488)), (1972541498, np.float64(0.00013985970022264746)), (1629027578, np.float64(0.0001343289562447274)), (1407839921, np.float64(0.00012113587007010624)), (1265577191, np.float64(9.692504678636074e-05)), (1790717650, np.float64(9.258044446297594e-05)), (1194706655, np.float64(9.217649694690147e-05)), (1548202641, np.float64(8.959755236200298e-05)), (1851333686, np.float64(8.921091831361545e-05)), (1033210166, np.float64(8.373603416594664e-05)), (1780614685, np.float64(8.370485249310037e-05)), (1598773715, np.float64(0.0)), (1144645573, np.float64(0.0))]"
207R00000X,"[(1104121193, np.float64(0.010674790271571196)), (1265710065, np.float64(0.010430440509379895)), (1528391034, np.float64(0.008230302650628801)), (1548383086, np.float64(0.006269166988394513)), (1598929176, np.float64(0.006105614730229449)), (1912011503, np.float64(0.005083796549673287)), (1225204886, np.float64(0.0031266560225880796)), (1922234657, np.float64(0.0030810799143080707)), (1831136324, np.float64(0.003064655543331594)), (1043249949, np.float64(0.00290828298821745)), (1063520120, np.float64(0.002762465241938315)), (1134121049, np.float64(0.002650610198377165)), (1235295643, np.float64(0.002597562376776585)), (1578654935, np.float64(0.002495994308225363)), (1083894604, np.float64(0.0020652440667122325)), (1326246349, np.float64(0.0020397447718895575)), (1396902862, np.float64(0.0017356442466259596)), (1205174505, np.float64(0.0011448522488540505)), (1750547881, np.float64(0.0011159427479259304)), (1114951662, np.float64(0.001077918538769002)), (1225155773, np.float64(0.0010667365477275484)), (1891964904, np.float64(0.0009998305480427468)), (1902109762, np.float64(0.0009834700263910681)), (1619105962, np.float64(0.0009760922035117779)), (1265605836, np.float64(0.0009139637276786627)), (1003002379, np.float64(0.0008823704847699022)), (1437117959, np.float64(0.0008124108534229586)), (1881689297, np.float64(0.0007120141786598383)), (1699976415, np.float64(0.0006961473654526536)), (1093886657, np.float64(0.0006857621061995437)), (1174523823, np.float64(0.000683665172350705)), (1295765030, np.float64(0.0006825099045209944)), (1750358990, np.float64(0.0006725949593461123)), (1699707281, np.float64(0.0006534431244803793)), (1235179540, np.float64(0.0006456448558323939)), (1679724801, np.float64(0.0006436752507935365)), (1669605341, np.float64(0.0006394690350347039)), (1225021587, np.float64(0.000632170094432153)), (1831187657, np.float64(0.0006291104711847441)), (1861699696, np.float64(0.0006217934753051873)), (1972698611, np.float64(0.0006179623685202923)), (1922037472, np.float64(0.000601258553430496)), (1013154400, np.float64(0.0005957330787853803)), (1700876653, np.float64(0.0005894058335963445)), (1699767244, np.float64(0.0005875453113523125)), (1750338364, np.float64(0.0005857117988666953)), (1730381252, np.float64(0.0005801390933319113)), (1326075292, np.float64(0.0005670177494517544)), (1003000530, np.float64(0.0005665030459628737)), (1578555249, np.float64(0.000561132794977144)), (1225060833, np.float64(0.0005399189803612144)), (1447290168, np.float64(0.0005319552888714716)), (1659450047, np.float64(0.0005094084616043149)), (1780879742, np.float64(0.0004893819584847315)), (1598846743, np.float64(0.0004806843033469422)), (1558322347, np.float64(0.00047709819192530114)), (1093786436, np.float64(0.00046661333050809767)), (1649292020, np.float64(0.00045698996087661855)), (1003002312, np.float64(0.0004270664863082133)), (1538241153, np.float64(0.0004258628211445414)), (1457537649, np.float64(0.0004085576401365183)), (1881687499, np.float64(0.00040841879099620166)), (1952459869, np.float64(0.0004070540580498462)), (1275519175, np.float64(0.000399002756010411)), (1578540985, np.float64(0.00039297267690512023)), (1679606867, np.float64(0.000391600925777696)), (1760431076, np.float64(0.00039087984392632423)), (1184898918, np.float64(0.0003897353240287371)), (1790884401, np.float64(0.00038161645882529426)), (1407005168, np.float64(0.0003806450191544248)), (1962766006, np.float64(0.00036865602663921647)), (1235236316, np.float64(0.00035899206051497257)), (1518088111, np.float64(0.0003551928593354226)), (1184667107, np.float64(0.00035319969870137535)), (1700844222, np.float64(0.0003442600205037505)), (1760463491, np.float64(0.00034423556986484463)), (1952307886, np.float64(0.0003290569111113764)), (1508929290, np.float64(0.00032897435287791016)), (1255345112, np.float64(0.0003166500732125398)), (1710186291, np.float64(0.00030466228984168573)), (1134120231, np.float64(0.0003044431721132956)), (1841357118, np.float64(0.0002972253115139212)), (1821098203, np.float64(0.0002915388296462423)), (1851477152, np.float64(0.00029123340655613545)), (1336364264, np.float64(0.00028343366707736636)), (1215105267, np.float64(0.00026247532985085824)), (1245417401, np.float64(0.0002543440353330922)), (1760479786, np.float64(0.00023613611549646988)), (1982817755, np.float64(0.00019990682195772852)), (1003000126, np.float64(0.00019528702241211303)), (1154422442, np.float64(0.0001568707550838415)), (1093798720, np.float64(0.00015252080752538752)), (1790857688, np.float64(9.499288177013465e-05)), (1457334062, np.float64(9.314466762496746e-05)), (1689677908, np.float64(9.061380513862767e-05)), (1174555742, np.float64(9.016449398715607e-05)), (1639139413, np.float64(8.990312601970336e-05)), (1245303122, np.float64(8.325185568234449e-05)), (1003012618, np.float64(5.1962418677529666e-05)), (1588605745, np.float64(1.557067601462551e-05))]"
207RP1001X,"[(1144249657, np.float64(0.004113974969042712)), (1225155773, np.float64(0.0024385140172489246)), (1801862693, np.float64(0.0015988580451016833)), (1124119144, np.float64(0.001404387972884413)), (1801878806, np.float64(0.0012480399804899928)), (1558322347, np.float64(0.0012111162389705854)), (1437478138, np.float64(0.001036472491053929)), (1699777128, np.float64(0.0010313664940723615)), (1265605836, np.float64(0.0009996503574726116)), (1568464006, np.float64(0.0009238151588712709)), (1932360963, np.float64(0.0008904220414616178)), (1215105267, np.float64(0.0008590266137982388)), (1578727343, np.float64(0.0008136566238409839)), (1124227020, np.float64(0.0007399976738964731)), (1003951625, np.float64(0.0007241733874212817)), (1306808159, np.float64(0.0007203379990713238)), (1336271667, np.float64(0.0007021265581986488)), (1750343505, np.float64(0.0006937403617916282)), (1982817755, np.float64(0.0006542633238294393)), (1417983461, np.float64(0.0005224228913175051)), (1497794648, np.float64(0.0005194933214924359)), (1093757445, np.float64(0.0004525843463524093)), (1174625396, np.float64(0.0003654594393668912)), (1275752677, np.float64(0.00029563863033299774))]"
363A00000X,"[(1144249657, np.float64(0.01167947286319392)), (1518071950, np.float64(0.005310804067745677)), (1508058009, np.float64(0.0033796934730209493)), (1598023939, np.float64(0.0030620803073778285)), (1003251562, np.float64(0.00209226468165042)), (1033469317, np.float64(0.0020339899804650945)), (1003000738, np.float64(0.0013708743701199308)), (1417082173, np.float64(0.0008960772553665613)), (1356695936, np.float64(0.0007693721926637589)), (1194056531, np.float64(0.0007008203810173143)), (1376961847, np.float64(0.0006107044169047557)), (1568501054, np.float64(0.000549402015039635)), (1275872384, np.float64(0.00044003363925775686)), (1023416906, np.float64(0.00043720053699047845)), (1871826958, np.float64(0.00011553453296877391)), (1003975400, np.float64(9.097507230227073e-05)), (1871770081, np.float64(8.324702494653957e-05)), (1801175070, np.float64(8.305329274163262e-05))]"
293D00000X,"[(1427320399, np.float64(0.0011696698845754209)), (1255367843, np.float64(0.0006725874417659571)), (1013051119, np.float64(8.814043063832828e-05))]"
207L00000X,"[(1245260777, np.float64(0.002385366563038898)), (1932360963, np.float64(0.0016030279165949437)), (1326018193, np.float64(0.0010398720219946484)), (1003000704, np.float64(0.0010174611678307203)), (1255393286, np.float64(0.0007514294370033659)), (1326136730, np.float64(0.0006892866587878605)), (1952381147, np.float64(0.0006485193718857059)), (1598784753, np.float64(0.0006335801455833841)), (1831117290, np.float64(0.0005899589799060565)), (1396717021, np.float64(0.0005776733796410148)), (1760701460, np.float64(0.0005629066480410153)), (1760560767, np.float64(0.0005469193994644507)), (1003000142, np.float64(0.0005182455528561196)), (1184710931, np.float64(0.000494473078256327)), (1013902600, np.float64(0.00039958203677248474)), (1801124870, np.float64(0.0003909461390127572))]"
367500000X,"[(1699909051, np.float64(0.004143842213922529)), (1417234493, np.float64(0.002334584682424165)), (1750312633, np.float64(0.0020001225844959144)), (1568626661, np.float64(0.0007005736145587771)), (1003859927, np.float64(0.0006259467719579605)), (1386071876, np.float64(0.0005173162893721919)), (1245584051, np.float64(0.0005046548911401913)), (1144536327, np.float64(0.0004980662000884676)), (1154349561, np.float64(0.0004932477465841847)), (1174500458, np.float64(0.00046245273308455126)), (1902072036, np.float64(0.0004305477378528807)), (1962740944, np.float64(0.00030832034010848847)), (1881634699, np.float64(0.00026804982815949207)), (1023029964, np.float64(0.00026804887190018823))]"
207P00000X,"[(1417188491, np.float64(0.005798642640171639)), (1164423364, np.float64(0.004633704737753265)), (1477580660, np.float64(0.003599551433162814)), (1619931532, np.float64(0.002932275181105123)), (1952627523, np.float64(0.0024688412797092703)), (1619080165, np.float64(0.0022752571692682523)), (1649484890, np.float64(0.002274868076036305)), (1790848190, np.float64(0.002049018992651739)), (1144249657, np.float64(0.0014597773417732278)), (1023255858, np.float64(0.0012797146694233932)), (1922098151, np.float64(0.0011849305178517288)), (1740373729, np.float64(0.0010965147087364346)), (1417065467, np.float64(0.0010062259373918262)), (1932298791, np.float64(0.0008876551593215888)), (1326087925, np.float64(0.0008434404497155039)), (1326058629, np.float64(0.0007644004511226741)), (1336185040, np.float64(0.0007528425683070034)), (1952443848, np.float64(0.0007444077146286344)), (1295764579, np.float64(0.0007328292254666078)), (1437296969, np.float64(0.00070217930055747)), (1053306746, np.float64(0.0007008316720904503)), (1295832814, np.float64(0.0006917298377071197)), (1821040072, np.float64(0.0006841605652667969)), (1578510897, np.float64(0.0006799868508862472)), (1255367892, np.float64(0.0006743288052463919)), (1720151798, np.float64(0.0006739414907708146)), (1497976112, np.float64(0.0006468862458445867)), (1316177728, np.float64(0.0005984547895298884)), (1083610976, np.float64(0.0005884462569767999)), (1548204233, np.float64(0.0005785857029860388)), (1376791269, np.float64(0.0005629011152919969)), (1063414753, np.float64(0.0004897010286975961)), (1679739288, np.float64(0.0004666619528014538)), (1548235757, np.float64(0.00043376191426185346)), (1497865364, np.float64(0.0004189008401816787)), (1609965490, np.float64(0.00040392405198187714)), (1114951662, np.float64(0.00038802869563258155)), (1275646333, np.float64(0.0003001692177602145)), (1790748234, np.float64(0.0002912457456568592)), (1285619924, np.float64(0.00021116549760797016)), (1578526026, np.float64(9.744309252775633e-05)), (1881617025, np.float64(9.59194581525891e-05)), (1285924597, np.float64(9.021924896600584e-05)), (1861413700, np.float64(8.990165691175042e-05)), (1669575643, np.float64(8.984050234309364e-05)), (1174507370, np.float64(8.861199510524915e-05)), (1538368246, np.float64(8.373618123206774e-05))]"
363L00000X,"[(1144249657, np.float64(0.012077821979861045)), (1811942147, np.float64(0.0007031797981056187)), (1427064971, np.float64(0.0006337926811402493)), (1063471134, np.float64(0.0002807877182110316)), (1639101751, np.float64(0.00010534817327666871)), (1902983687, np.float64(9.84530017056803e-05)), (1164735007, np.float64(9.534436439317771e-05)), (1124079702, np.float64(8.571935005446692e-05)), (1003000720, np.float64(4.648270327035964e-05))]"
363LP0808X,"[(1063471134, np.float64(0.0007799705533123548)), (1578822680, np.float64(0.0007346890102378188)), (1467426254, np.float64(0.0006680773998341523))]"
