key,rankings
282N00000X,"[(1598773715, 0.0), (1144645573, 0.0), (1508058009, 0.000937142168555759), (1538100029, 0.0006367652249242791), (1609831247, 0.04163437135268837), (1841271459, 0.0008995697553970045), (1003864810, 0.001525780556110326), (1033210166, 0.00038453770366681466), (1124025176, 0.0013497078625628084), (1124272547, 0.00036703974573289026), (1164539730, 0.0007348762904175963), (1184670549, 0.12599136074621115), (1265577191, 0.001068367367358385), (1376521575, 0.0007874894130420904), (1497859649, 0.0012089797973495805), (1508956509, 0.0005070739996139248), (1548306343, 0.008845263357307486), (1548375082, 0.00040203746840108333), (1598768780, 0.00038453770366681466), (1609817220, 0.016827020694089274), (1629026364, 0.00034954359459931007), (1770531600, 0.0023203435925001695), (1831151257, 0.00040203746840108333), (1932213600, 0.000577134489762704), (1336144732, 6.218284064783343e-05), (1407854771, 4.935817180432106e-05), (1467493551, 0.00016297790805253938), (1497792568, 3.688763582828241e-05), (1811971302, 5.8482513542801965e-05), (1912954553, 0.0004670325937847476), (1144249657, 0.006585079892469759), (1265422901, 0.0021168337323249882), (1265449870, 0.004675594567651319), (1285667493, 0.0004590365988612531), (1821007881, 0.0006957193133569314), (1972689172, 8.853321686842858e-06), (1477531580, 0.0018269434578915564), (1154415024, 1.9802531773019944e-05), (1629027578, 1.0533646006998748e-05), (1285681908, 0.00039659177216350285), (1649367269, 0.0007830094515885134), (1700978558, 0.029400192867083428), (1013933175, 0.00028984691122516966), (1164400131, 5.5526588179603e-05), (1568459287, 0.00039001592231059174), (1669405072, 0.0030942901335619067), (1902803315, 3.121518614749809e-05), (1295761963, 2.9758001669857526e-05), (1104906569, 0.00010199026583242972), (1205845567, 2.8027086940062535e-05), (1316027709, 0.00010084204421365653), (1568493641, 4.301088219495801e-05), (1134166192, 1.915208364908863e-06), (1134186315, 0.0002580698101706087), (1497798847, 0.005904106780122454), (1154373843, 0.002181863186915193), (1154432458, 0.014429093998207023), (1174500458, 0.032207647122193865), (1235183328, 0.0005794273193995619), (1699756221, 0.0021424541612065045), (1417965559, 3.089086548570456e-05), (1013071653, 7.154206643106731e-05), (1073519443, 0.007656082478130238), (1174512792, 0.001075783379371374), (1184722779, 0.0013142132697999455), (1194706655, 0.0006951411372467702), (1265820179, 0.0015371146146698292), (1407839921, 0.0002208018428698609), (1467537506, 0.0009011931655063164), (1558759498, 0.001330123050231271), (1790860856, 0.0010440234429200835), (1861409823, 0.025800347349596943), (1578554630, 0.00026469715383333105), (1437186111, 0.00019042772228261285), (1356390264, 0.0003104534691513825), (1467560599, 0.00022420404791809049), (1487694857, 0.0008097934598917295), (1710918545, 0.00014376529659191825), (1811946734, 0.0001544669750309326), (1972541498, 0.00018125279013449287), (1144274879, 0.00010418010784966515), (1265419907, 3.517840270261846e-05), (1376529743, 8.514365942260874e-05), (1578704938, 6.199854701271956e-05), (1902894512, 0.00017819387715167144), (1780614685, 8.582301635204812e-06), (1013010917, 0.001289106875616369), (1225133473, 0.0003848647345291246), (1255419651, 0.00038129811064956787), (1275583726, 0.00018098719048388758), (1346247368, 8.815198199579107e-05), (1629069638, 0.00019485257632569005), (1962409987, 0.00016715071344759316), (1679525919, 7.870422299568876e-06), (1023049236, 0.0002475813341722163), (1134227606, 0.0022923011477571807), (1174618953, 0.0009053469994977556), (1427360981, 0.0003629789619591802), (1548202641, 0.00017981909406132758), (1578677811, 0.0001461114268389316), (1639101751, 0.00010413945484191943), (1790717650, 0.00024333264316270383), (1851333686, 0.00015452750284246507), (1043240682, 0.0003914541353846176), (1477549756, 0.0002251607487003728), (1497790042, 0.00026986098921720795), (1558653212, 0.00018508501366465484), (1780684431, 0.0005464450825153837)]"
207R00000X,"[(1003000126, 0.20692757479756607), (1083894604, 0.0008995697553970045), (1093786436, 0.001501595630102319), (1093886657, 0.006732186866298374), (1104121193, 0.003794730616218373), (1114951662, 0.0008432246866614546), (1134120231, 0.0013132637962190402), (1174523823, 0.01309230114450494), (1245417401, 0.00043052438602875844), (1265710065, 0.002143275351962968), (1326246349, 0.0046351565691465785), (1538241153, 0.002768079558608288), (1548383086, 0.000580496041803188), (1578654935, 0.0031097111745001117), (1598929176, 0.0023702492248087992), (1619105962, 0.003166706691359593), (1639139413, 0.0006742870476733946), (1669605341, 0.005575202265855553), (1679724801, 0.005806078827444972), (1689677908, 0.0008807862590181437), (1710186291, 0.0020487796939585023), (1780879742, 0.0015204387508925402), (1790857688, 0.002010994078359126), (1821098203, 0.000862004569439627), (1851477152, 0.001068702528822244), (1861699696, 0.004214506346999166), (1962766006, 0.0014450771085337208), (1972698611, 0.0010311048204586699), (1174555742, 0.0006998099093363216), (1578540985, 0.0005245864119506031), (1588605745, 0.00038453770366681466), (1760431076, 0.0004545476034059549), (1790884401, 0.00040203746840108333), (1215105267, 0.0012337781320744619), (1235179540, 0.0010832861178008872), (1295765030, 0.0020788069088796537), (1699767244, 0.0006458371694527767), (1881689297, 0.001158499602531478), (1902109762, 0.0018257103166566032), (1952307886, 0.0006832460671803764), (1265605836, 0.000253833766763506), (1518088111, 0.0012050012229915341), (1649292020, 0.000253833766763506), (1003000530, 0.004034921233582419), (1700876653, 0.00012111344067601031), (1184667107, 9.162284545710231e-06), (1578555249, 2.257597030144929e-05), (1750338364, 2.2088134208500805e-05), (1043249949, 0.0016708142265439104), (1225060833, 0.0016969550139245722), (1336364264, 0.001097545386117737), (1679606867, 0.0014358723641799205), (1699707281, 0.002708870711327096), (1730381252, 0.000876991978295211), (1750547881, 0.0016316165964754996), (1760463491, 0.0011755124345729704), (1922234657, 0.0053058679589386955), (1013154400, 0.0025927051933938247), (1093798720, 0.0002839531285022143), (1225021587, 0.0025445530608192925), (1235295643, 0.0005210279186725956), (1245303122, 0.00033133556413009397), (1275519175, 0.002416226873169022), (1326075292, 0.0010916660577975357), (1437117959, 0.0027211903794743895), (1447290168, 0.0010440234429200835), (1699976415, 0.003543001771855922), (1700844222, 0.004548395823415863), (1760479786, 0.0010281461848949546), (1841357118, 0.0007902041305593314), (1881687499, 0.0010440234429200835), (1891964904, 0.0032040397034727337), (1063520120, 0.0005829641310734384), (1134121049, 0.0015432875480459718), (1154422442, 0.00014911523241125329), (1205174505, 0.0009776903818814993), (1225155773, 0.00046250294532170367), (1235236316, 0.0005390588827080748), (1255345112, 0.0006600765629658397), (1407005168, 0.0006932331560832384), (1457334062, 0.00040260028670831836), (1457537649, 0.0003158594157813894), (1508929290, 0.0003104534691513825), (1528391034, 0.0003483330383686601), (1558322347, 0.00035917203363383774), (1598846743, 0.00040803694894417754), (1659450047, 0.00028345083800651176), (1912011503, 0.00027266243315097327), (1952459869, 0.0017240344340840735), (1982817755, 0.00025649337687024736), (1750358990, 7.812424008518334e-05), (1184898918, 0.00010524431325243054), (1922037472, 0.000275139556422945), (1003002312, 0.014157224750407177), (1003002379, 0.10475975921230739), (1003012618, 0.0005752662582067458), (1225204886, 0.09170520664399477), (1396902862, 0.0014073601513474258), (1831136324, 0.0046776570302442845), (1831187657, 0.0013399041638948882)]"
207RP1001X,"[(1003951625, 0.002768079558608288), (1306808159, 0.0030717231972621785), (1336271667, 0.0028439471050634986), (1750343505, 0.002181086262767164), (1144249657, 0.006585079892469759), (1215105267, 0.0012337781320744619), (1801862693, 0.004610427796234951), (1265605836, 0.000253833766763506), (1497794648, 0.0009358286247054867), (1568464006, 0.0007753874643362794), (1578727343, 0.0003890619317288258), (1699777128, 0.001476387151699292), (1801878806, 0.00031447811691820746), (1124227020, 0.0042669622779937105), (1932360963, 0.00289400631540139), (1093757445, 0.00023495993036743245), (1174625396, 0.0003537516326010768), (1225155773, 0.00046250294532170367), (1275752677, 0.0003212671692117405), (1558322347, 0.00035917203363383774), (1982817755, 0.00025649337687024736), (1417983461, 0.0002681201370855196), (1124119144, 0.018835914367048203), (1437478138, 0.0021161055917862538)]"
363A00000X,"[(1003975400, 0.000711816097623887), (1033469317, 0.0008244466106836266), (1376961847, 0.0007305833327996496), (1417082173, 0.000524243119885195), (1508058009, 0.000937142168555759), (1518071950, 0.000524243119885195), (1356695936, 0.00465423367058138), (1598023939, 0.0037954686941590004), (1144249657, 0.006585079892469759), (1003000738, 9.785630664477739e-06), (1003251562, 0.0003472173391560835), (1801175070, 0.0002839531285022143), (1871770081, 0.00029974546691116324), (1194056531, 6.428053584751191e-05), (1568501054, 0.0038644523313026043), (1023416906, 0.0013233836849472049), (1275872384, 0.0014855918960530923), (1871826958, 0.006206026731247927)]"
293D00000X,"[(1013051119, 0.0005617432610301793), (1255367843, 0.0006311090364465932), (1427320399, 0.0015924352276101873)]"
207L00000X,"[(1013902600, 0.0005429922870575151), (1184710931, 0.00043052438602875844), (1245260777, 0.0008807862590181437), (1255393286, 0.0009935143392964729), (1760560767, 0.0007681232235522077), (1760701460, 0.0012379816530753679), (1801124870, 0.0006180070237502378), (1831117290, 0.0007305833327996496), (1003000142, 0.0006352971996445731), (1326136730, 0.000620906938302765), (1003000704, 3.052137481530469e-05), (1326018193, 0.0017492582702900265), (1932360963, 0.00289400631540139), (1952381147, 0.0001927359097223969), (1396717021, 8.815198199579107e-05), (1598784753, 8.815198199579107e-05)]"
367500000X,"[(1023029964, 0.00033685082218092824), (1144536327, 0.0005054957595132191), (1386071876, 0.00043052438602875844), (1417234493, 0.0007493523747757565), (1568626661, 0.0004680064591703003), (1699909051, 0.0004867502059415876), (1750312633, 0.0005054957595132191), (1902072036, 0.0004492645191993572), (1003859927, 0.0006698892956354813), (1154349561, 0.00032145236624702653), (1174500458, 0.032207647122193865), (1245584051, 0.0003472173391560835), (1881634699, 0.00023133187527617113), (1962740944, 0.00016701430002160201)]"
207P00000X,"[(1053306746, 0.0011627284187372036), (1114951662, 0.0008432246866614546), (1295832814, 0.0009747218089158907), (1316177728, 0.00041178605965850386), (1437296969, 0.0010499027712402849), (1477580660, 0.001501595630102319), (1497976112, 0.0005054957595132191), (1578510897, 0.000786895879129003), (1619931532, 0.0018788013379721523), (1649484890, 0.00039304954008859356), (1952627523, 0.0005617432610301793), (1144249657, 0.006585079892469759), (1164423364, 0.001472589257375671), (1295764579, 0.00137195770540212), (1326058629, 0.003149704700120166), (1336185040, 0.002701947955808088), (1417188491, 0.001033179930654045), (1720151798, 0.0005710681576068724), (1740373729, 0.0022183180940610267), (1922098151, 0.0029191533625927122), (1952443848, 0.0018004404070418717), (1255367892, 1.0038582712673249e-05), (1285924597, 0.00016931977726086968), (1609965490, 0.00013923926172956287), (1790848190, 0.00014196482004886948), (1932298791, 0.00010937736903991075), (1023255858, 0.0005277745111580387), (1083610976, 0.000282818457886023), (1417065467, 0.0013967723013300994), (1548235757, 0.008193695017162737), (1619080165, 0.0004245556210915165), (1821040072, 0.0009677448493865552), (1063414753, 0.0009963970892457295), (1174507370, 0.0005368473590867084), (1275646333, 0.0017124998206863584), (1285619924, 0.0006951411372467702), (1326087925, 0.0006793036288292149), (1376791269, 0.0008694729786625995), (1497865364, 0.001075783379371374), (1538368246, 0.00034713332294007573), (1548204233, 0.0012664947693080348), (1578526026, 0.0012505922160780862), (1669575643, 0.000600143188746602), (1679739288, 0.0006634679272120038), (1790748234, 0.0007109804524646697), (1861413700, 0.0005684916603159667), (1881617025, 0.0009170559691286913)]"
363L00000X,"[(1063471134, 0.0004680064591703003), (1811942147, 0.001125112642370187), (1902983687, 0.002181086262767164), (1144249657, 0.006585079892469759), (1003000720, 0.00011423133816474817), (1427064971, 0.0014749886882328399), (1124079702, 0.00037873426096107196), (1164735007, 3.363539520862585e-05), (1639101751, 0.00010413945484191943)]"
363LP0808X,"[(1063471134, 0.0004680064591703003), (1467426254, 0.0025785371684943596), (1578822680, 0.0005210279186725956)]"
