key,rankings
207RP1001X,"[(1144249657, 71), (1215105267, 71), (1265605836, 304), (1225155773, 65), (1558322347, 65), (1982817755, 65), (1003951625, 304), (1306808159, 304), (1336271667, 304), (1750343505, 304), (1801862693, 71), (1497794648, 304), (1568464006, 304), (1578727343, 304), (1699777128, 304), (1801878806, 26), (1124227020, 269), (1932360963, 269), (1093757445, 65), (1174625396, 65), (1275752677, 65), (1417983461, 57), (1124119144, 16), (1437478138, 16)]"
207RS0012X,"[(1144249657, 71), (1801878806, 26), (1003854464, 269)]"
207ZP0102X,"[(1144249657, 71), (1710943220, 304), (1144431883, 19), (1235222001, 269), (1003000134, 304), (1205883485, 304), (1336180496, 304), (1366483182, 304), (1992960926, 304), (1033361712, 4), (1285674713, 269), (1770543670, 269), (1790745123, 269), (1174530612, 269), (1700854007, 269), (1548387996, 304), (1235225558, 3), (1154323533, 57), (1306896964, 57), (1679523237, 57)]"
2085R0001X,"[(1144249657, 71), (1811959349, 304), (1003001462, 8)]"
2085R0202X,"[(1144249657, 71), (1306043096, 269), (1306849492, 304), (1265475883, 304), (1427099936, 304), (1467490797, 304), (1487693529, 304), (1659310266, 304), (1952340432, 304), (1952340598, 304), (1194721035, 269), (1659429603, 269), (1720059827, 269), (1740338631, 269), (1528095999, 65), (1821029216, 65), (1952511214, 269), (1306009295, 304), (1346286242, 304), (1366645103, 304), (1730208448, 304), (1922174960, 304), (1932137577, 304), (1265428908, 71), (1477538783, 71), (1558652990, 71), (1689655888, 71), (1952381386, 71), (1033220439, 17), (1174721377, 17), (1386825362, 17), (1518058155, 17), (1548451727, 17), (1740208990, 17), (1750437356, 17), (1912978529, 8), (1023058351, 304), (1245479054, 304), (1588662183, 304), (1689712655, 304), (1881635191, 304), (1033153440, 24), (1316986037, 24), (1376595397, 24), (1669411427, 24), (1780611343, 24), (1831138502, 24), (1467401240, 4), (1164409769, 4), (1053378794, 269), (1295760734, 269), (1295803302, 269), (1306016464, 269), (1366529026, 269), (1396894986, 269), (1508845579, 269), (1558459891, 269), (1801905773, 269), (1851342539, 269), (1932171733, 269), (1932275906, 269), (1972679959, 269), (1992901250, 269), (1245421692, 14), (1518917970, 14), (1740239920, 14), (1811953110, 14), (1063413169, 26), (1104827526, 26), (1255332672, 26), (1295736551, 26), (1508885328, 26), (1568518157, 26), (1629233986, 26), (1780642777, 26), (1841291143, 26), (1861411548, 26), (1952302374, 26), (1972605897, 26), (1326035072, 269), (1477540961, 269), (1487604088, 269), (1679700140, 269), (1730340191, 269), (1942297635, 269), (1023033412, 269), (1083713002, 269), (1215088182, 269), (1225003494, 269), (1295042455, 269), (1295774552, 269), (1457379919, 269), (1528038692, 269), (1619974201, 269), (1699880682, 269), (1720280530, 269), (1780684639, 269), (1821112699, 269), (1083665541, 8), (1023104007, 65), (1346272010, 65), (1356516975, 65), (1366474033, 65), (1477589091, 65), (1508892621, 65), (1518917582, 65), (1548235823, 65), (1659535102, 65), (1689785024, 65), (1740424134, 65), (1780616318, 65), (1790728020, 65), (1982655809, 65), (1265476097, 14), (1336137264, 14), (1558388330, 14), (1568437085, 14), (1639111966, 14), (1720034325, 14), (1205823192, 57), (1326012998, 57), (1336112242, 57), (1447247382, 57), (1457493652, 57), (1609815463, 57), (1609849546, 57), (1619940533, 57), (1619975489, 57), (1649267402, 57), (1699749242, 57), (1841226008, 57), (1124015615, 36), (1194703108, 36), (1376521435, 36), (1497729800, 36), (1538156021, 36), (1750378212, 36), (1811958648, 36), (1821076845, 36), (1891938569, 36), (1902884067, 36), (1912980806, 36), (1912985086, 36)]"
208600000X,"[(1144249657, 71), (1417188491, 71), (1720074313, 269), (1134111743, 304), (1316142656, 304), (1740365584, 304), (1740507433, 304), (1851393565, 304), (1891754370, 304), (1023122595, 304), (1295985794, 71), (1003000480, 17), (1265579528, 17), (1487700068, 17), (1003000639, 4), (1326078890, 269), (1679500375, 269), (1700863404, 269), (1205845807, 269), (1700880267, 65), (1316030927, 16), (1649364696, 16)]"
208G00000X,"[(1144249657, 71), (1134111743, 304)]"
208M00000X,"[(1144249657, 71), (1083894604, 304), (1104121193, 304), (1245417401, 304), (1265710065, 304), (1326246349, 304), (1548383086, 304), (1619105962, 304), (1861699696, 304), (1972698611, 304), (1336364264, 269), (1750547881, 269), (1922234657, 269), (1063520120, 65), (1154422442, 65), (1225155773, 65), (1235236316, 65), (1407005168, 65), (1508929290, 65), (1528391034, 65), (1558322347, 65), (1831136324, 16), (1780642090, 304), (1528260981, 304), (1003000407, 71), (1134418668, 14), (1093042178, 269), (1154524395, 65), (1962540575, 65)]"
363L00000X,"[(1144249657, 71), (1639101751, 36), (1063471134, 304), (1811942147, 304), (1902983687, 304), (1003000720, 14), (1427064971, 269), (1124079702, 269), (1164735007, 10)]"
261QF0050X,"[(1285667493, 71)]"
261QM0801X,"[(1821007881, 71)]"
261QX0200X,"[(1821007881, 71), (1265820179, 269)]"
282NR1301X,"[(1154415024, 8)]"
333600000X,"[(1629027578, 8), (1740239557, 8), (1154384899, 269)]"
314000000X,"[(1649367269, 304), (1467560599, 65), (1487694857, 65), (1326061789, 304), (1457307563, 304), (1679574800, 304), (1689817793, 304), (1861437253, 304), (1114937828, 71), (1487655809, 71), (1528055712, 71), (1003000514, 8), (1124011770, 304), (1285621987, 304), (1467447797, 269)]"
282NW0100X,"[(1013933175, 24), (1407839921, 269)]"
261QA1903X,"[(1568459287, 24), (1306892609, 304), (1881905792, 304)]"
367500000X,"[(1174500458, 269), (1023029964, 304), (1144536327, 304), (1386071876, 304), (1417234493, 304), (1568626661, 304), (1699909051, 304), (1750312633, 304), (1902072036, 304), (1003859927, 269), (1154349561, 269), (1245584051, 269), (1881634699, 269), (1962740944, 269)]"
225X00000X,"[(1013071653, 3)]"
231H00000X,"[(1013071653, 3)]"
235Z00000X,"[(1013071653, 3)]"
225100000X,"[(1013071653, 3), (1003001249, 3), (1457546608, 3)]"
332B00000X,"[(1013071653, 3), (1427320399, 269)]"
261QH0700X,"[(1174512792, 269)]"
261QM1300X,"[(1265820179, 269)]"
261QS1200X,"[(1790860856, 269)]"
163WD1100X,"[(1578554630, 10)]"
2472R0900X,"[(1578554630, 10)]"
261QI0500X,"[(1811946734, 65)]"
261QM0850X,"[(1972541498, 65)]"
332H00000X,"[(1639101751, 36)]"
261QR0400X,"[(1497790042, 19)]"
207RC0000X,"[(1558653212, 19), (1093786436, 304), (1588605745, 304), (1952307886, 71), (1336364264, 269), (1275519175, 269), (1568409415, 304), (1609846476, 304), (1023104247, 304), (1144307729, 304), (1316147788, 304), (1427076058, 304), (1568559458, 304), (1669629887, 304), (1740257963, 304), (1437155363, 71), (1659686970, 71), (1710144100, 71), (1801043146, 71), (1861501702, 71), (1871683557, 17), (1275639544, 304), (1427154756, 304), (1710084199, 304), (1710945761, 304), (1851497242, 304), (1215140892, 24), (1447475082, 24), (1568557965, 24), (1619127362, 24), (1649288416, 4), (1598795429, 269), (1629048012, 269), (1134229198, 14), (1174511216, 14), (1649295056, 26), (1679586705, 26), (1003000936, 269), (1003854464, 269), (1053340935, 269), (1063696011, 269), (1205035516, 269), (1205920709, 269), (1285691931, 269), (1417995259, 269), (1902847494, 269), (1851319560, 269), (1487632659, 269), (1649224387, 269), (1982648606, 269), (1417117581, 65), (1467524520, 65), (1730307851, 65), (1841243532, 65), (1023170388, 14), (1245235050, 57), (1285639088, 57), (1801909759, 36)]"
284300000X,"[(1780684431, 19)]"
207R00000X,"[(1003000126, 304), (1083894604, 304), (1093786436, 304), (1093886657, 304), (1104121193, 304), (1114951662, 304), (1134120231, 304), (1174523823, 304), (1245417401, 304), (1265710065, 304), (1326246349, 304), (1538241153, 304), (1548383086, 304), (1578654935, 304), (1598929176, 304), (1619105962, 304), (1639139413, 304), (1669605341, 304), (1679724801, 304), (1689677908, 304), (1710186291, 304), (1780879742, 304), (1790857688, 304), (1821098203, 304), (1851477152, 304), (1861699696, 304), (1962766006, 304), (1972698611, 304), (1174555742, 304), (1578540985, 304), (1588605745, 304), (1760431076, 304), (1790884401, 304), (1215105267, 71), (1235179540, 71), (1295765030, 71), (1699767244, 71), (1881689297, 71), (1902109762, 71), (1952307886, 71), (1265605836, 304), (1518088111, 304), (1649292020, 304), (1003000530, 24), (1700876653, 24), (1184667107, 14), (1578555249, 14), (1750338364, 14), (1043249949, 269), (1225060833, 269), (1336364264, 269), (1679606867, 269), (1699707281, 269), (1730381252, 269), (1750547881, 269), (1760463491, 269), (1922234657, 269), (1013154400, 269), (1093798720, 269), (1225021587, 269), (1235295643, 269), (1245303122, 269), (1275519175, 269), (1326075292, 269), (1437117959, 269), (1447290168, 269), (1699976415, 269), (1700844222, 269), (1760479786, 269), (1841357118, 269), (1881687499, 269), (1891964904, 269), (1063520120, 65), (1134121049, 65), (1154422442, 65), (1205174505, 65), (1225155773, 65), (1235236316, 65), (1255345112, 65), (1407005168, 65), (1457334062, 65), (1457537649, 65), (1508929290, 65), (1528391034, 65), (1558322347, 65), (1598846743, 65), (1659450047, 65), (1912011503, 65), (1952459869, 65), (1982817755, 65), (1750358990, 304), (1184898918, 57), (1922037472, 57), (1003002312, 36), (1003002379, 16), (1003012618, 16), (1225204886, 16), (1396902862, 16), (1831136324, 16), (1831187657, 16)]"
207RI0011X,"[(1093786436, 304), (1952307886, 71), (1336364264, 269), (1609846476, 304), (1437155363, 71), (1659686970, 71), (1063696011, 269), (1205920709, 269), (1285691931, 269), (1417117581, 65), (1467524520, 65), (1841243532, 65), (1033102900, 269), (1326073586, 26), (1477612877, 269)]"
207RH0000X,"[(1780879742, 304)]"
207RX0202X,"[(1780879742, 304), (1740349695, 304)]"
207RB0002X,"[(1902109762, 71)]"
207RG0100X,"[(1518088111, 304), (1689659997, 304), (1750532156, 304), (1255449179, 304), (1275580698, 269), (1780670836, 269), (1912994989, 269), (1760401749, 57)]"
174400000X,"[(1184667107, 14), (1003002312, 36), (1477580660, 304), (1720074313, 269), (1568409415, 304), (1174526446, 304), (1255334900, 304), (1306849492, 304), (1467405514, 304), (1710933148, 304), (1770561979, 304), (1770587313, 304), (1184619785, 304), (1316036825, 304), (1457339863, 304), (1649257163, 304), (1710943220, 304), (1902837115, 304), (1336162486, 269), (1053336701, 269), (1245371814, 269), (1609962026, 269), (1891722120, 269), (1023034774, 57), (1053399170, 57), (1174520936, 57), (1174525604, 57), (1952357543, 57), (1982650644, 57)]"
390200000X,"[(1336364264, 269), (1205174505, 65), (1437478138, 16), (1023255858, 269), (1285619924, 269), (1679739288, 269), (1134303472, 269), (1316142656, 304), (1396894986, 269), (1063665636, 269)]"
207RI0200X,"[(1679606867, 269), (1760479786, 269), (1750595575, 304), (1003001645, 65), (1578526489, 57)]"
207RN0300X,"[(1730381252, 269), (1760463491, 269), (1700844222, 269), (1255345112, 65), (1952459869, 65), (1396902862, 16), (1245284355, 304), (1437199379, 304), (1497913651, 304), (1538263082, 304), (1316983729, 269), (1063497220, 269), (1063497691, 269), (1225287378, 269), (1104014596, 65), (1508801390, 57), (1902842057, 57)]"
207RH0005X,"[(1730381252, 269)]"
207U00000X,"[(1093798720, 269), (1740338631, 269), (1659535102, 65), (1336137264, 14)]"
207RC0001X,"[(1275519175, 269), (1568409415, 304), (1568559458, 304), (1710144100, 71), (1629048012, 269), (1417995259, 269)]"
