Mean Hits@N,10,20,30,40,50,60,70,80,90,100
 Sheaf Laplacian,0.57,0.625,0.7233333333333333,0.7350000000000001,0.746,0.73,0.7242857142857141,0.71875,0.7099999999999999,0.7110000000000001
 Regular Laplacian,0.20000000000000004,0.225,0.37,0.37,0.354,0.3433333333333333,0.35571428571428576,0.36500000000000005,0.37111111111111106,0.366
 Katz,0.24000000000000005,0.20999999999999996,0.2766666666666667,0.3075,0.31599999999999995,0.33499999999999996,0.3428571428571428,0.34500000000000003,0.3466666666666666,0.3470000000000001
 Page Rank,0.31000000000000005,0.31500000000000006,0.33333333333333337,0.34750000000000003,0.356,0.35666666666666663,0.3714285714285714,0.37,0.37777777777777777,0.37699999999999995

Mean NDCG@N,10,20,30,40,50,60,70,80,90,100
 Sheaf Laplacian,0.6365650285616271,0.5784715179836118,0.5314039912759724,0.5211328569353845,0.5135471574821852,0.48415032591916046,0.474719359730955,0.46796110614282194,0.4601206906905822,0.45401447842589066
 Regular Laplacian,0.2795577035932457,0.25636807005530216,0.27731312962533083,0.25465643361886137,0.24498645871336328,0.24678318373384928,0.24943072899798566,0.24649744637241627,0.2485851919030236,0.239099844490576
 Katz,0.32200947039637906,0.2265272794508985,0.2542087039032427,0.2385312006602769,0.2421979517772886,0.2629312012748322,0.2626506463303497,0.25468278182789417,0.25428953440585167,0.2501438476294803
 Page Rank,0.3524470629583011,0.3076131307276969,0.3023611880767229,0.2841105859006251,0.27389186728044185,0.2653606951606908,0.271699122363978,0.2607858883499709,0.26085585601134254,0.26088842770580867

Mean RBO@N,10,20,30,40,50,60,70,80,90,100
 Sheaf Laplacian,0.45559820237213966,0.518995124848866,0.5545008387287126,0.5719061084651786,0.5794166509578023,0.5827435477779283,0.5841364476763806,0.5848089583440891,0.5850753301953746,0.5851883182643215
 Regular Laplacian,0.17441383671238644,0.1966618768128317,0.22316987839808414,0.23895237587333376,0.24419644139774027,0.24632851868520617,0.24733852362675451,0.24797248183331594,0.24837900315398365,0.24859517045516122
 Katz,0.20657701461471173,0.21696967054307903,0.22151124021053636,0.2299245544371845,0.23426150646251717,0.23680843462799045,0.2384470670624637,0.2392765250131413,0.23972959787803946,0.2399770411254397
 Page Rank,0.32480555447080384,0.3277241516058173,0.3275040209273613,0.32922720613684164,0.33019677871267883,0.3309018103935388,0.3314662235472067,0.3318321695430128,0.33203929824754075,0.33217505361446065
